Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Air_Purifiers,air-purifiers,https://havells.com/home-appliances/air-purifiers/freshia-ap-58-air-purifier-ghhacbek8x5.html,,Standard,SKUGHHACBEK8X5,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/r/freshia_main_1.jpg,N/A,N/A,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Purifiers,air-purifiers,https://havells.com/home-appliances/air-purifiers/meditate-ap-250-air-purifier-ghrapmae50.html,,Standard,SKUGHRAPMAE50,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/2/5/250_1_1.jpg,N/A,https://havells.com/media/wysiwyg/Brochure-and-pricelist/Meditate_Air_Purifier_Catalogue.pdf,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
Havells,Air_Purifiers,air-purifiers,https://havells.com/home-appliances/air-purifiers/meditate-ap-400-air-purifier-ghrapmee008.html,,Standard,SKUGHRAPMEE008,N/A,N/A,N/A,,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/0/400_1_1200.jpg,N/A,https://havells.com/media/wysiwyg/Brochure-and-pricelist/Meditate_Air_Purifier_Catalogue.pdf,"ISI, ce, ul, Ce, isi, CE",onsWashing,India,N/A
