Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Poles,Current_Rating_A,Breaking_Capacity_kA,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Switchgear_Modular,carbon,https://havells.com/switches/modular-range/carbon-modular-range/3-m-fabio-front-plate-ahfplcbv03.html,,Standard,SKUAHFPLCBV03,235.00,150.00,N/A,N/A,Key Features 6 mm slim plate : Slim and sturdy design plate Engineered with front loading and removal feature : Easy and quick to install Mat Black colour : Matches to any interiors Warranty : 1 Year (Against Manufacturing Defect only) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/AHFPLCBV03.jpg,N/A,N/A,N/A,Warranty : 1 Year,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,carbon,https://havells.com/switches/modular-range/carbon-modular-range/2-m-fabio-front-plate-ahfplcbv02.html,,Standard,SKUAHFPLCBV02,208.00,135.00,N/A,N/A,Key Features 6 mm slim plate : Slim and sturdy design plate Engineered with front loading and removal feature : Easy and quick to install Mat Black colour : Matches to any interiors Warranty : 1 Year (Against Manufacturing Defect only) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/AHFPLCBV02.jpg,N/A,N/A,N/A,Warranty : 1 Year,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,carbon,https://havells.com/switches/modular-range/carbon-modular-range/1-m-fabio-front-plate-ahfplcbv01.html,,Standard,SKUAHFPLCBV01,208.00,135.00,N/A,N/A,Key Features 6 mm slim plate : Slim and sturdy design plate Engineered with front loading and removal feature : Easy and quick to install Mat Black colour : Matches to any interiors Warranty : 1 Year (Against Manufacturing Defect only) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/AHFPLCBV01.jpg,N/A,N/A,N/A,Warranty : 1 Year,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,carbon,https://havells.com/switches/modular-range/carbon-modular-range/18-m-fabio-front-plate-ahfplcbv18.html,,Standard,SKUAHFPLCBV18,781.00,500.00,N/A,N/A,Key Features 6 mm slim plate : Slim and sturdy design plate Engineered with front loading and removal feature : Easy and quick to install Mat Black colour : Matches to any interiors Warranty : 1 Year (Against Manufacturing Defect only) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/AHFPLCBV18.jpg,N/A,N/A,N/A,Warranty : 1 Year,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,carbon,https://havells.com/switches/modular-range/carbon-modular-range/12-m-fabio-front-plate-ahfplcbv12.html,,Standard,SKUAHFPLCBV12,616.00,395.00,N/A,N/A,Key Features 6 mm slim plate : Slim and sturdy design plate Engineered with front loading and removal feature : Easy and quick to install Mat Black colour : Matches to any interiors Warranty : 1 Year (Against Manufacturing Defect only) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/AHFPLCBV12.jpg,N/A,N/A,N/A,Warranty : 1 Year,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,carbon,https://havells.com/switches/modular-range/carbon-modular-range/tv-socket-ahfktob001.html,,Standard,SKUAHFKTOB001,275.00,175.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust free glossy finish Mat Black colour : Matches to any interiors Warranty : 10 Year (Against Manufacturing Defect only) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/AHFKTOB001.jpg,N/A,N/A,N/A,Warranty : 10 Year,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,carbon,https://havells.com/switches/modular-range/carbon-modular-range/6-a-3-pin-shuttered-socket-ahfkpxb063.html,,Standard,SKUAHFKPXB063,239.00,155.00,N/A,N/A,Key Features Designed with child safety shutters : Ensures complete safety while operating Chamfered design shutter for easy operation : Easy entry of the plugs into the sockets Mat Black colour : Matches to any interiors Warranty : 10 Year (Against Manufacturing Defect only) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/AHFKPXB063.jpg,N/A,N/A,N/A,Warranty : 10 Year,N/A,"ISI, ul, Ce, ISI Marked, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,carbon,https://havells.com/switches/modular-range/carbon-modular-range/telephone-socket-ahfknwb111.html,,Standard,SKUAHFKNWB111,303.00,195.00,N/A,N/A,Key Features Screw type terminals : This desing will avoid loose contact Spring loaded shutter : Dust free operation Mat Black colour : Matches to any interiors Warranty : 10 Year (Against Manufacturing Defect only) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Switches/AHFKNWB111.jpg,N/A,N/A,N/A,Warranty : 10 Year,N/A,"ISI, UL, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/10-a-mega-switch-2-way-acvmxxw102.html,,Standard,SKUACVMXXW102,288.00,201.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvmxxw102_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,verona,https://havells.com/switches/modular-range/verona/16-a-1-way-switch-with-indicator-acvsxiw161.html,,Standard,SKUACVSXIW161,319.00,210.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acvsxiw161_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
