Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Product_Description,Image_URL,Capacity_L,Purification_Type,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Air_Purifiers,air-purifiers,https://havells.com/home-appliances/air-purifiers/freshia-ap-58-air-purifier-ghhacbek8x5.html,,Standard,SKUGHHACBEK8X5,47495.00,9999.00,N/A,Key Features 85 W 9 Stage Filtration Noiseless BLDC Motor Total Protection with Anti Virus Filter Suitable for 54 m² Room Size 2 Years Product Warranty* and Home Service within 24 hours,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/r/freshia_main_1.jpg,N/A,N/A,N/A,N/A,"isi, Ce, ce, ISI, CE, ul",onsWashing,India,N/A
Havells,Air_Purifiers,air-purifiers,https://havells.com/home-appliances/air-purifiers/meditate-ap-250-air-purifier-ghrapmae50.html,,Standard,SKUGHRAPMAE50,33000.00,19799.00,N/A,"Key Features SpaceTech Air Purification Technology with TiO 2 module destroys bacteria, fungal spores, microbiological impurities, allergens and VOCs without emitting ozone Portable Normal Remote for realtime air quality monitoring IoT, Alexa & Google home enabled Scheduling-Automated On/Off for everyday use through Havells One App, Filter life indication and notification Warranty : 2 Year",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/2/5/250_1_1.jpg,N/A,N/A,Warranty : 2 Year,https://havells.com/media/wysiwyg/Brochure-and-pricelist/Meditate_Air_Purifier_Catalogue.pdf,"isi, Ce, ce, ISI, CE, ul",onsWashing,India,N/A
Havells,Air_Purifiers,air-purifiers,https://havells.com/home-appliances/air-purifiers/meditate-ap-400-air-purifier-ghrapmee008.html,,Standard,SKUGHRAPMEE008,59900.00,37999.00,N/A,"Key Features SpaceTech Air Purification Technology with TiO 2 module destroys bacteria, fungal spores, microbiological impurities, allergens and VOCs without emitting ozone Portable AQI Remote for realtime air quality monitoring Industry first Integrated wireless Charger which charges mobile as well AQI remote wirelessly IoT, Alexa & Google home enabled Scheduling-Automated On/Off for everyday use through Havells One App, Filter life indication and notification",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/4/0/400_1_1200.jpg,N/A,N/A,N/A,https://havells.com/media/wysiwyg/Brochure-and-pricelist/Meditate_Air_Purifier_Catalogue.pdf,"isi, Ce, ce, ISI, CE, ul",onsWashing,India,N/A
