Company,Product_Code,Product_Name,Category,Sub_Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Havells,HAVELLS-IND-HTPO-25.0-1C,HT Power Cable Aluminium Conductor ₹ 67 71 000.00 (incl. of all taxes) Application : Heavy Duty XLPE Power cables for Power Generation / Distribution Type : 1.9/3.3 kV to 33/33 kV (E) as per IS:7098 -,HT Power Cable,Industrial,Cable,33 kV,Aluminum,25.0,1.0,Class 2,XLPE,2.6,Armoured-SWA,9.0,267,IS 1554,90,450,259.07,23316.61,25907.34,46633.22,1500,1500,50000,85446000,25,https://havells.com/business/for-industrial/cables/ht-power-cables.html,2025-12-07
Havells,HAVELLS-IND-HTPO-25.0-1C,HT Power Cable Copper Conductor ₹ 9 99 999.00 (incl. of all taxes) Application : Heavy Duty XLPE Power cables for Power Generation / Distribution Type : 1.9/3.3 kV to 33/33 kV (E) as per IS:7098 - 2 S,HT Power Cable,Industrial,Cable,33 kV,Copper,25.0,1.0,Class 2,XLPE,2.6,Armoured-SWA,9.0,267,IS 1554,90,450,259.07,23316.61,25907.34,46633.22,1500,1500,50000,85446000,25,https://havells.com/business/for-industrial/cables/ht-power-cables.html,2025-12-07
Havells,HAVELLS-IND-HTPO-25.0-1C,HT Power Cable Aluminium Conductor,HT Power Cable,Industrial,Cable,33 kV,Aluminum,25.0,1.0,Class 2,XLPE,2.6,Armoured-SWA,9.0,267,IS 7098,90,450,2.0,180.0,200.0,360.0,1500,1500,50000,85446000,25,https://havells.com/business/for-industrial/cables/ht-power-cables/ht-power-cable-aluminium-conductor-chhecldfhk03300.html,2025-12-07
Havells,HAVELLS-IND-HTPO-25.0-1C,More Information,HT Power Cable,Industrial,Cable,33 kV,Aluminum,25.0,1.0,Class 2,XLPE,2.6,Armoured-SWA,9.0,267,IS 7098,90,450,2.0,180.0,200.0,360.0,1500,1500,50000,85446000,25,https://havells.com/business/for-industrial/cables/ht-power-cables/ht-power-cable-copper-conductor-chhelldfhk03240.html,2025-12-07
