Company,Product_Code,Product_Name,Category,Sub_Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Havells,HAVELLS-IND-LTCO-1.5-2.0C,"LT Control Cables ₹ 7 58 160.00 (incl. of all taxes) Application : Cables for Power Supply to equipments, panel boards & distribution boards Type : 1.1 kV as per IS:1554-I & IS 7098-1 Size : 1.5 sq. m",LT Control Cable,Industrial,Cable,1.1 kV,Copper,1.5,2.0,Class 2,XLPE,0.72,Unarmoured,4.41,32,IS 7098,90,21,31.09,2797.99,3108.88,5595.99,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-control-cables.html,2025-12-07
Havells,HAVELLS-IND-LTCO-1.5-2.0C,LT Control Cables,LT Control Cable,Industrial,Cable,1.1 kV,Copper,1.5,2.0,Class 2,XLPE,0.72,Armoured-SWA,4.41,32,IS 7098,90,21,2.0,180.0,200.0,360.0,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-control-cables/lt-control-cables-chcamldwhk052x5.html,2025-12-07
