Company,Product_Code,Product_Name,Category,Sub_Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Havells,HAVELLS-IND-LTPO-10.0-1C,"LT Power Cable Copper Conductor ₹ 5 45 21 000.00 (incl. of all taxes) Application : Cables for Power Supply to Residential, Commercial & Industrial units Type : 1.1 kV for Electrical Substations as pe",LT Power Cable,Industrial,Cable,1.1 kV,Copper,10.0,1.0,Class 2,XLPE,1.4,Unarmoured,5.69,106,IS 7098,90,180,103.63,9326.64,10362.94,18653.29,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-power-cables.html,2025-12-07
Havells,HAVELLS-IND-LTPO-10.0-1C,"LT Power Cable Aluminium Conductor ₹ 53 60 000.00 (incl. of all taxes) Application : Cables for Power Supply to Residential, Commercial & Industrial units Type : 1.1 kV for Electrical Substations as p",LT Power Cable,Industrial,Cable,1.1 kV,Aluminum,10.0,1.0,Class 2,XLPE,1.4,Unarmoured,5.69,106,IS 7098,90,180,103.63,9326.64,10362.94,18653.29,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-power-cables.html,2025-12-07
Havells,HAVELLS-IND-LTPO-10.0-1C,LT Power Cable Copper Conductor,LT Power Cable,Industrial,Cable,1.1 kV,Aluminum,10.0,1.0,Class 2,XLPE,1.4,Armoured-SWA,5.69,106,IS 7098,90,180,2.0,180.0,200.0,360.0,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-power-cables/lt-power-cable-copper-conductor-chlakldfhk3h300.html,2025-12-07
Havells,HAVELLS-IND-LTPO-10.0-1C,LT Power Cable Aluminium Conductor,LT Power Cable,Industrial,Cable,1.1 kV,Aluminum,10.0,1.0,Class 2,XLPE,1.4,Armoured-SWA,5.69,106,IS 7098,90,180,2.0,180.0,200.0,360.0,500,500,15000,85446000,25,https://havells.com/business/for-industrial/cables/lt-power-cables/lt-power-cable-aluminium-conductor-chlabldfhk3h300.html,2025-12-07
