Company,Product_Code,Product_Name,Category,Sub_Category,Type,Voltage_Rating,Conductor_Material,Conductor_Size_sqmm,No_of_Cores,Conductor_Class,Insulation_Type,Insulation_Thickness_mm,Armour_Type,Outer_Diameter_mm,Approx_Weight_kg_per_km,Standard,Max_Conductor_Temp_C,Current_Rating_Amps,Price_Per_Meter_INR,Price_Per_90m_INR,Price_Per_100m_INR,Price_Per_180m_INR,Test_Certificate_Cost_INR,Routine_Test_Cost_INR,Type_Test_Cost_INR,HSN_Code,Warranty_Years,Product_URL,Extracted_Date
Havells,HAVELLS-IND-EHVC-185.0-1C,"Extra High Voltage Cables ₹ 9 99 99 999.00 (incl. of all taxes) Application : High Power Transmission Type : 66 kV, 110 kV, 132 kV, 220 kV as per IS 7098 P-3/IEC 60840/IEC 62067 Size : 185 sq. mm to 2",EHV Cable,Industrial,Cable,220 kV,Aluminum,185.0,1.0,Class 2,XLPE,15.4,Armoured-SWA,24.48,1975,IS 7098,90,3330,1917.14,172542.91,191714.34,345085.82,5000,5000,200000,85446000,25,https://havells.com/business/for-industrial/cables/ehv-cables.html,2025-12-07
Havells,HAVELLS-IND-EHVC-185.0-1C,Extra High Voltage Cables,EHV Cable,Industrial,Cable,220 kV,Copper,185.0,1.0,Class 2,XLPE,15.4,Armoured-SWA,24.48,1975,IS 7098,90,3330,2.0,180.0,200.0,360.0,5000,5000,200000,85446000,25,https://havells.com/business/for-industrial/cables/ehv-cables/extra-high-voltage-cables.html,2025-12-07
