Category,Total_Products,Scraping_Duplicates_Removed,File
Fans,258,0,data_FMEG/Polycab/Polycab_Fans.csv
Lighting,380,0,data_FMEG/Polycab/Polycab_Lighting.csv
Water_Heaters,13,0,data_FMEG/Polycab/Polycab_Water_Heaters.csv
Switchgear_Modular_Levana,313,0,data_FMEG/Polycab/Polycab_Switchgear_Modular_Levana.csv
Switchgear_Modular_Etira,255,0,data_FMEG/Polycab/Polycab_Switchgear_Modular_Etira.csv
Switchgear_Boxes,16,0,data_FMEG/Polycab/Polycab_Switchgear_Boxes.csv
Switchgear_Protection,418,0,data_FMEG/Polycab/Polycab_Switchgear_Protection.csv
Solar,25,0,data_FMEG/Polycab/Polycab_Solar.csv
